,id,Artist(s),Title,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,BMP,Time_Signature,Valence
14,1WM80A5a4xDtlndjqjZQIv,Chromatics,Girls Just Wanna Have Some,0.175,0.667,223236,0.629,0.116,0,0.0915,-8.493,1,0.0324,115.002,4,0.455
15,6DGujQojYKebtgnq9SGT0B,"Bright Light Bright Light,808 BEACH",Too Funky,0.00284,0.566,225900,0.714,0.0,2,0.0874,-6.506,1,0.12,200.136,4,0.671
16,0jeKnrCAOZRMf7w9hdVHUe,Miley Cyrus,Psycho Killer,0.00177,0.552,224826,0.886,0.0,0,0.296,-6.858,1,0.239,124.092,4,0.429
17,10wk4XQdba4QpHgFb28Ktk,Lewis Capaldi,drivers license - Spotify Singles,0.845,0.543,262544,0.23,0.0,4,0.11,-12.532,1,0.0417,127.357,4,0.307
18,5bE0T0e4BrW8zhlwGR9vWD,dee holt,Torn,0.659,0.439,205806,0.425,0.0,4,0.111,-6.375,1,0.0313,93.143,4,0.192
19,11A8jtMu8WKkLeq6CpZNsl,Arkells,Dancing On My Own,0.000343,0.545,230293,0.879,0.00016,2,0.375,-3.727,1,0.0483,134.91,4,0.484
20,2GSLoT7abyYGchSSDCpWEI,Tate McRae,Heather - Spotify Singles,0.886,0.569,190652,0.271,0.0,10,0.103,-10.969,1,0.0271,91.888,4,0.352
21,5YM7Ae4VUe7LNtvCcYpUcA,Kylie Cantrall,Boo'd Up,0.165,0.538,227545,0.679,0.0,3,0.0755,-7.841,1,0.0637,165.146,4,0.367
22,4TQLfbI12rrIVxOeWIr6gI,thủy,so into you - Spotify Singles,0.473,0.872,173482,0.495,3.61e-06,8,0.146,-7.347,0,0.0598,92.023,4,0.845
23,0z0kUUd2jPQiI2Ob8VXajc,"Niall Horan,Anne-Marie",Everywhere (BBC Children In Need),0.0492,0.638,171413,0.91,0.00511,6,0.137,-2.1,0,0.0402,115.016,4,0.539
24,2Q1f6exzZ9iYrv4IICnzVx,Kelsea Ballerini,Lost In Japan - Recorded at Sound Stage Studios Nashville,0.76,0.622,199914,0.503,0.0,0,0.434,-8.783,1,0.122,94.777,4,0.58
25,0eMGIcWRTh8mYD9DNPjdo3,Paravi,we can't be friends (wait for your love) - Spotify Singles,0.721,0.382,245233,0.234,2.88e-06,9,0.272,-14.488,1,0.0318,95.453,4,0.34
26,4FG5dNlurEtZ84kCTg5YLA,"Jacob Collier,John Legend,Tori Kelly",Bridge Over Troubled Water (feat. John Legend & Tori Kelly),0.883,0.153,352106,0.291,1.08e-05,8,0.207,-8.088,1,0.0296,84.16,3,0.117
27,10UTmRvoroe6eZ3ViwkpbN,Billianne,Simply The Best,0.943,0.593,173571,0.193,4.79e-05,11,0.106,-11.81,1,0.0378,139.936,4,0.315
28,4YutJsNwBBInE8vemufpQ8,Harry Styles,"Girl Crush - Recorded at Metropolis Studios, London",0.658,0.468,243804,0.197,0.0,4,0.109,-11.727,1,0.033,144.212,3,0.249
29,4oXlgp2uT03EKeBf0Jl0VA,Ellie Goulding,Fields Of Gold,0.909,0.381,224850,0.262,0.0,9,0.0816,-8.097,1,0.0296,168.834,4,0.377
30,5eGX87IiKsGuzS3iw4CfCX,Taylor Swift,September - Recorded at The Tracking Room Nashville,0.412,0.641,187823,0.444,0.00121,6,0.179,-6.482,1,0.0239,107.081,4,0.588
31,0vzv4fNNHbkVCTVGQwxxGw,Kacey Musgraves,Fix You,0.871,0.524,141160,0.303,4.84e-06,3,0.0922,-8.879,1,0.0308,143.075,4,0.183
32,4rf444Z5dWQd6Jg5okkpZl,Troye Sivan,Better Now - Recorded At Spotify Studios NYC,0.269,0.669,230306,0.563,0.0,7,0.114,-8.37,1,0.0334,130.01,4,0.487
33,41cpvQ2GyGb2BRdIRSsTqK,Frank Ocean,Moon River,0.877,0.24,188323,0.116,0.00092,0,0.1,-13.216,1,0.0329,77.349,3,0.0937
34,2fyn9gJRCGG6o2u3EIGBjg,Towa Bird,Time to Pretend - Spotify Singles,0.0103,0.544,243035,0.813,0.00387,4,0.232,-9.1,1,0.0434,104.982,4,0.434
35,7j8FDy7eI1TommLedXXdHz,Pentatonix,Creep,0.226,0.333,147000,0.379,0.0,3,0.0902,-10.545,1,0.0414,102.236,3,0.132
36,6WOCRPBxJqRhOyfLygAOJ5,"HAPPIE,The Human Experience",Africa,0.228,0.553,220397,0.464,0.136,7,0.093,-11.376,1,0.0643,87.952,4,0.0689
37,7JBWagcdXEX1dDZTCKUo7R,Sasha Alex Sloan,As It Was - Spotify Singles,0.845,0.529,206187,0.174,0.0,9,0.0567,-13.751,1,0.0373,136.112,4,0.311
38,2BOqDYLOJBiMOXShCV1neZ,Calum Scott,Dancing On My Own,0.837,0.681,260285,0.174,3.35e-05,1,0.0983,-8.745,1,0.0315,112.672,4,0.231
39,0cgFnx6yIVv3RrqXlZTiGZ,Smith & Thell,I Wanna Dance With Somebody - Who Loves Me,0.038,0.593,203538,0.787,0.0,2,0.194,-6.429,1,0.0327,125.957,4,0.507
40,2vaxUyVWNoA2L272YHEy70,Zara Larsson,Lay All Your Love On Me - Spotify Singles,0.376,0.691,161125,0.409,0.000224,4,0.145,-10.144,1,0.0376,124.994,4,0.21
41,0Oqc0kKFsQ6MhFOLBNZIGX,Lana Del Rey,Doin' Time,0.404,0.641,202192,0.559,0.00402,7,0.0937,-11.132,0,0.0355,144.982,4,0.523
42,2xbuycY0MolcTZGENc4PuK,Hozier,Say My Name - Recorded at Spotify Studios NYC,0.52,0.607,267413,0.462,1.83e-05,0,0.229,-8.383,1,0.0551,117.41,4,0.376
43,6yBVp6DFh899CRaKww95Hr,Katelyn Tarver,The Only Exception,0.832,0.448,262066,0.191,0.0,3,0.0993,-10.958,1,0.0453,84.481,4,0.19
44,3GWaFFi6TlPcZLYmCCHZ9O,Stephen Dawes,Teenage Dream,0.411,0.622,178000,0.375,0.0,10,0.0812,-9.069,1,0.0279,111.968,4,0.221
45,4LnBzQTbIJ3rCdXxs44R9S,Danielle Bradbery,God Is A Woman - Yours Truly: 2018,0.941,0.552,217773,0.394,3.24e-06,3,0.0655,-5.795,0,0.0305,137.941,4,0.321
46,5U8frcz1zLfKDX5sDTpsnV,Anna of the North,Believe,0.852,0.395,252716,0.332,0.0169,7,0.104,-9.503,1,0.0262,95.089,4,0.0493
