Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1EsAhylwglTqOzaRmTGHeE,"11nbBcaBk8uXBPQsc3Sq9p","Gone","Gone","Aaron Espe",2015,196586,26,spotify:user:,2022-03-22T14:40:29Z,"modern indie folk,stomp and flutter",0.289,0.258,7,-15.045,1,0.0532,0.838,0.118,0.109,0.144,180.118,4
0sN0KsgEU0RxNsGJ0zOGor,"1WgXqy2Dd70QQOU7Ay074N","Half the World Away","All My Demons Greeting Me as a Friend (Deluxe)","AURORA",2014,198133,47,spotify:user:,2022-03-22T14:40:29Z,"art pop,norwegian pop",0.61,0.0967,8,-14.728,1,0.0423,0.948,0.00000545,0.148,0.202,111.559,4
1sz0fuWEAcPkCfG5o7D9KP,"3iieFb3WOWJ8tW57Gixt8y","Every Breath You Take (Re:Imagined)","Every Breath You Take (Re:Imagined)","Denmark + Winter",2014-07-11,222222,36,spotify:user:,2022-03-22T14:40:29Z,"",0.586,0.492,0,-8.114,0,0.0252,0.337,0.0000447,0.112,0.0897,108.006,4
2CgxxJfitzgyaMv3kFm4l3,"4VmI5ZXt5FnlYIA8xHCLGH","Whatever You Like","Whatever You Like","CAL",2020-09-04,186461,27,spotify:user:,2022-03-22T14:40:29Z,"",0.613,0.402,11,-8.324,1,0.0404,0.191,0,0.165,0.598,129.83,4
5idADky7mHihopJGObd4hf,"5c1Ag67oqsK5rOUtOmK9J0","Take on Me","Take on Me","Lia Rose",2019-04-23,208345,32,spotify:user:,2022-03-22T14:40:29Z,"",0.454,0.292,9,-16.486,1,0.0336,0.714,0.18,0.118,0.126,130.014,4
6EjU3Hev5VZZmpPjoyNZVX,"4M5nCE77Qaxayuhp3fVn4V","What I Am - Recorded at Spotify Studios NYC","Spotify Singles","Iron & Wine",2018-07-02,235579,42,spotify:user:,2022-03-22T14:40:29Z,"acoustic pop,chamber pop,indie folk,indie rock,stomp and holler",0.546,0.299,5,-14.999,1,0.0386,0.668,0.108,0.111,0.79,115.465,4
55KGNC101dEVfdAGAzUIeq,"0RQEMnWcCrVW4vkPFbAVsg","Electric Feel","Electric Feel","Lucy Daydream",2020-12-04,222796,30,spotify:user:,2022-03-22T14:40:29Z,"denver indie",0.664,0.594,11,-9.969,1,0.0321,0.426,0.183,0.118,0.204,96.973,3
6gCe9izm7Z6gjm7NWQqcKL,"5k58ro6wizhwH6oPwICLns","Atlantic City","Covers Two","Lauren O'Connell",2020-08-25,196046,25,spotify:user:,2022-03-22T14:40:29Z,"alternative americana",0.66,0.256,0,-10.244,1,0.0433,0.88,0,0.0635,0.607,120.313,4
6WoJzSRQeROe5MNpf7cPDu,"6J7rw7NELJUCThPbAfyLIE","Dance Me to the End of Love (Bonus)","Barton Hollow","The Civil Wars",2011-02-01,185053,43,spotify:user:,2022-03-22T14:40:29Z,"acoustic pop,indie folk,neo mellow,new americana,stomp and holler",0.472,0.184,9,-11.182,0,0.029,0.856,0,0.145,0.285,110.081,4
7KqIH50NWpcqdZ2768gxiy,"6vjYF7rDvsWBtHnPgBmJvs","Landslide","Robyn Sherwell","Robyn Sherwell",2016-03-25,170399,40,spotify:user:,2022-03-22T14:40:29Z,"channel islands indie",0.459,0.0567,0,-16.347,1,0.043,0.947,0.00000417,0.101,0.144,86.1,4
5YQdjvqe9fCrrkbU6BPtjQ,"6HOBJhMPSZxZEsfTcSPD0m","White Flag","White Flag","Ryan Corn",2015-09-25,211626,31,spotify:user:,2022-03-22T14:40:29Z,"",0.553,0.674,9,-6.511,0,0.0484,0.0682,0.038,0.155,0.521,90.012,4
2KQlkzT8Gg1lFDU0y5TYeK,"0QWrMNukfcVOmgEU0FEDyD,21TinSsF5ytwsfdyz5VSVS","Here Comes The Sun (feat. dodie)","Here Comes The Sun (feat. dodie)","Jacob Collier,dodie",2019-04-26,238360,32,spotify:user:,2022-03-22T14:40:29Z,"uk alternative pop,alt z,indie pop,pov: indie",0.641,0.398,2,-12.237,1,0.054,0.838,0.000102,0.539,0.461,145.043,4
7mbSj5ZNGRlC2M4Ql5RsXY,"3V3ttZhwHpekK6Hcvwv5ju","Latch","Latch","Moonrise Nation",2016-04-15,207160,31,spotify:user:,2022-03-22T14:40:29Z,"",0.461,0.26,8,-10.983,1,0.0409,0.754,0.0000044,0.128,0.149,116.422,4
0ps4B5abRYTq6BYeLnmb4j,"1vCgeJQjG0SFPCC9ixbCGz","Unchained Melody","Unchained Melody","Nataly Dawn",2017-03-07,190400,32,spotify:user:,2022-03-22T14:40:29Z,"",0.521,0.355,10,-8.564,1,0.0285,0.785,0.00616,0.105,0.195,75.065,4
0p9iW5SZgKuxF2Tnodh316,"26DvqLYszG0oIOeelTF5kE","Wouldn't It Be Nice","Wouldn't It Be Nice","Trousdale",2020-10-09,167125,44,spotify:user:,2022-03-22T14:40:29Z,"modern indie folk",0.586,0.269,7,-7.672,1,0.0262,0.885,0,0.0906,0.257,105.809,4
5511Aj0mYSejKP6fplsoRk,"0B3N0ZINFWvizfa8bKiz4v","Torn - Bonus Track","First Impressions","James TW",2016-04-15,196213,50,spotify:user:,2022-03-22T14:40:29Z,"british singer-songwriter,uk pop",0.599,0.546,9,-6.459,1,0.159,0.303,0,0.119,0.411,95.141,4
0YZWUkELGlFigAxGLMnfj8,"4LX0KCPnH7gvxEbVXqXmAE","Fake Empire","...but i'd rather be with you","Molly Tuttle",2020-08-28,205049,28,spotify:user:,2022-03-22T14:40:29Z,"folk,new americana,progressive bluegrass",0.342,0.442,8,-15.961,1,0.0375,0.608,0.206,0.192,0.384,93.126,3
2ETA67aCemVtQj2nS4TWaM,"0awfhMMIeRArR1ESXbCmW4,4WCpgJFxAdAsm4FSD9CAfX","Country Roads","Country Roads","Kenny Foster,Sarah Darling",2020-02-21,193208,30,spotify:user:,2022-03-22T14:40:29Z,"country dawn,country pop",0.437,0.164,2,-13.973,1,0.0322,0.916,0.0000604,0.137,0.176,77.863,4
7nghYGsh54yEir2qzPxqyk,"0WfaItAbs4vlgIA1cuqGtJ","Bang Bang (My Baby Shot Me Down)","Bang Bang (My Baby Shot Me Down)","Daniela Andrade",2016-05-03,153500,41,spotify:user:,2022-03-22T14:40:29Z,"canadian contemporary r&b,folk-pop",0.414,0.064,5,-12.321,1,0.0759,0.962,0,0.215,0.0374,187.047,5
1xk9SAyeOxzJ0o2f8QqNM9,"1I5eQkzyM8jCVZIM3k2bKL","Can't Feel My Face","Can't Feel My Face","Ember Island",2015-09-23,152250,32,spotify:user:,2022-03-22T14:40:29Z,"swedish electropop",0.347,0.348,9,-11.222,0,0.0298,0.837,0.0132,0.229,0.14,103.376,4
32DRpZgrvQZddDkKF2DoTr,"1hcdI2N1023RvSwLzTtdsp,5Hsv8dUHHOdnn72q4XIVz7","Slowly","Giralunas, Un Homenaje a L.E.Aute","Natalia Lafourcade,Leiva",2015-05-25,336813,46,spotify:user:,2022-03-22T14:40:29Z,"cantautora mexicana,latin alternative,latin pop,mexican pop,rock en espanol,veracruz indie,cantautor,latin arena pop,spanish indie pop,spanish pop,spanish rock",0.643,0.388,0,-14.081,1,0.041,0.0918,0.000135,0.114,0.717,164.078,4
71RBgjynxm7jKDR4VnpYOl,"3LRldYGJpCAQT5cZKQyi7o","Blue Monday","Rebox","Hannah Peel",2010-02-08,162500,22,spotify:user:,2022-03-22T14:40:29Z,"chamber psych,folktronica,spectra",0.599,0.219,0,-10.36,1,0.0366,0.944,0.0000344,0.0676,0.485,119.347,4
0wDRNOFe1nzWFDQc5FoKk1,"3TyeX0lk4B7k56ukfzEE0z","Hallelujah","Hallelujah","Tenille Townes",2020-08-28,229574,41,spotify:user:,2022-03-22T14:40:29Z,"alberta country,contemporary country,country pop",0.349,0.148,4,-9.731,0,0.0365,0.861,0,0.136,0.111,158.329,3
2Bg5AdWEDobr5xEHwLtCHn,"6tW9jWf8lpuzDzAdVMvNMV","Crush","Playing Favorites","Meiko",2018-05-25,221125,17,spotify:user:,2022-03-22T14:40:29Z,"acoustic pop",0.606,0.163,11,-21.772,0,0.0635,0.725,0.000012,0.111,0.233,109.564,4
2PPxhYPi9vxR6UnmpUwY29,"6UBMFaCTZnL1Hr1nTOEblM","00000 Million","00000 Million","Gordi",2016-11-17,200160,26,spotify:user:,2022-03-22T14:40:29Z,"australian electropop,australian indie",0.579,0.314,8,-10.431,1,0.5,0.935,0,0.278,0.12,126.154,4
1zJpJ3HPRtAYYNLWm5BJEf,"4EzkuveR9pLvDVFNx6foYD","If I Ain’t Got You - James Bay Spotify Session 2015 Alicia Keys Cover","James Bay Spotify Session 2015","James Bay",2015-08-07,261120,60,spotify:user:,2022-03-22T14:40:29Z,"neo mellow,pop,uk pop",0.652,0.18,5,-9.735,0,0.111,0.743,0.00000404,0.71,0.328,115.218,3
6Y2c7nqkwa5n2vykfdwDIE,"0Kwf0zcciIFGLCKiqNcO6Q","Hotline Bling","Hotline Bling","SRNO",2016-06-11,175124,32,spotify:user:,2022-03-22T14:40:29Z,"dutch rap pop",0.769,0.206,1,-14.301,1,0.107,0.504,0.135,0.113,0.123,122.076,4
2M605uHCPSyTuiWhplewX1,"6Qm9stX6XO1a4c7BXQDDgc","Today","Siamese Dream","Fruit Bats",2021-07-23,255633,40,spotify:user:,2022-03-22T14:40:29Z,"chamber pop,indie folk,indie rock,new americana,stomp and holler",0.428,0.26,4,-14.086,1,0.026,0.205,0.000403,0.11,0.178,172.074,3
4RftloQV6tARnLrBuXKzMr,"0jPnVIasXzBYjrlpO5irii","Don't Start Now","Spotify Singles","Ingrid Andress",2020-09-09,191444,42,spotify:user:,2022-03-22T14:40:29Z,"contemporary country,country pop",0.568,0.477,11,-8.099,0,0.0361,0.576,0.000456,0.141,0.227,116.941,4
1FaxioLjUIAGpuvkDIDQHF,"1Dha3TduO0PBC7aRD84PHP","Like a Virgin","Like a Virgin","L'Isle",2019-01-18,207413,30,spotify:user:,2022-03-22T14:40:29Z,"",0.725,0.336,5,-11.828,1,0.0542,0.583,0.00275,0.125,0.25,96.961,4
6PtA1cWsvqeNF464t0USPx,"470WlqN9HSRDGNaMufeHHF","Soul Meets Body","Soul Meets Body","Imaginary Future",2020-10-09,218581,34,spotify:user:,2022-03-22T14:40:29Z,"acoustic pop,folk-pop",0.649,0.206,9,-12.366,1,0.036,0.885,0,0.123,0.507,110.707,4
6AdxrIYy5CT1LLzLYAQOwy,"7rrTqtOUOwva4sgTx9C9F9","I Can't Make You Love Me - Spotify Singles","Spotify Singles","Joy Oladokun",2021-10-20,196772,40,spotify:user:,2022-03-22T14:40:29Z,"black americana,la pop",0.594,0.501,0,-8.224,1,0.0325,0.0802,0.0242,0.125,0.551,75.007,4
26BQhYYkG1B8xxbVV423PY,"1fqwhBnYqhrXIHVKkowZrt","Young & Sad","Young & Sad","Tom Boy",2020-10-15,182957,38,spotify:user:,2022-03-22T14:40:29Z,"",0.693,0.436,10,-7.808,1,0.0327,0.701,0,0.103,0.368,141.866,4
