Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
17FxD2Du8Qczo58jpIwUXb,"4gus7u7NSeJ3OGIhOnNgIr","A Kind of Magic - Miracle Mix","A Kind of Magic","Ituana",2023-04-21,192923,34,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"coverchill,jazz cover",0.72,0.5,2,-10.191,1,0.0413,0.522,0.000512,0.344,0.539,129.958,4
4cb5w1y8zVOm4yi90DaLB8,"6sZREHX9XWWC5van5XX6Q7,506zjFvbbNJcjxY260lHDC","If You Ever Want My Love Again","If You Ever Want My Love Again","Urban Love,Luca Giacco",2021-02-12,187500,46,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"bossa nova cover,coverchill,reggae cover",0.914,0.586,11,-9.978,0,0.0385,0.407,0.041,0.107,0.96,110.006,4
402P5nfAk5LL2rmsrh5QAS,"6GB5ciGInIXxCbTrqdgz1W,48eBlQXonG4CHpDSshfblU,7I0kExgxiEOZ7JuzhE6mtZ","Portuguese Love","Portuguese Love","Amazonics,Apollinare Rossi,Julie Benson",2020-03-20,194250,44,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"coverchill",0.842,0.424,2,-12.529,1,0.0423,0.177,0.0015,0.11,0.632,126.016,4
1AjhlpDCa0sH55RgDm2rRh,"19fFXKAVON44FeIBScDl9j,48eBlQXonG4CHpDSshfblU","Superstition","Superstition","George White Group,Apollinare Rossi",2021-07-02,209250,44,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"coverchill,jazz cover",0.74,0.368,4,-15.358,0,0.0549,0.473,0.0058,0.209,0.331,80.026,3
6AKVTdAxFTMkw0HZwnl6XK,"3tFvFDca4inwWMY5vupFbX","WILDFLOWER","WILDFLOWER","The Cooltrane Quartet",2024-07-19,205295,47,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"coverchill,jazz cover",0.671,0.429,6,-12.337,0,0.0464,0.485,0.0397,0.108,0.388,143.945,4
7xMFJgyuPLaTxhzbNN9ncm,"6Q5cnVb5SfF6RWedEp57Al","New Rules","Bossa N' Lipa","Michelle Simonal",2023-12-30,173848,47,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"coverchill,jazz cover",0.747,0.502,1,-10.924,0,0.0412,0.341,0.00889,0.105,0.528,96.003,4
33QKYJVDxw61uKYhVESezl,"5W2wSFP3ZxgYAColX5r3wT","i like the way you kiss me","i like the way you kiss me","Lizette",2024-08-09,171500,30,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"coverchill",0.836,0.536,8,-11.183,0,0.0322,0.0538,0,0.11,0.767,139.955,4
7hEv0IV78CEtZ0IbwGN9ie,"4KrX2lMNXFQrzpkZnDDJTg,1V8oWdnA5lcwov8ehgy7n7","Sunshine Reggae","Sunshine Reggae","James Farrelli,Shelly Sony",2024-03-29,136893,51,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"coverchill",0.891,0.326,8,-13.773,1,0.0572,0.391,0.137,0.0995,0.631,137.063,4
6AWSoNOx2GMygIR9S6OuD5,"6GB5ciGInIXxCbTrqdgz1W,6Q5cnVb5SfF6RWedEp57Al","Cry for Help","Cry for Help","Amazonics,Michelle Simonal",2021-06-25,176000,50,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"coverchill,jazz cover",0.87,0.423,1,-11.035,1,0.0383,0.507,0.0205,0.136,0.62,105.997,4
7HDOeq4Pm2mOayUVFdKaqD,"3tFvFDca4inwWMY5vupFbX","The Lady in Red","The Lady in Red","The Cooltrane Quartet",2019-12-06,227013,52,spotify:user:o0fbzeszsjwj57ln417mucadz,2024-08-16T20:04:18Z,"coverchill,jazz cover",0.793,0.452,6,-12.024,0,0.0302,0.435,0.288,0.138,0.807,134.974,4
