Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
307B0j257d72HTyAiohF8N,"2tRsMl4eGxwoNabM08Dm4I","Johnny B. Goode","Ram It Down","Judas Priest",1988-05-03,279400,43,spotify:user:,1970-01-01T00:00:00Z,"album rock,alternative metal,birmingham metal,glam metal,hard rock,metal,rock",0.332,0.944,4,-4.842,1,0.0715,0.181,0.000659,0.349,0.397,156.223,4
0cMnTQQfuL10cHQilKBV3L,"2eBaOuE2ZujGVsgpd9aE7Q,3wBSOZFd5KLsEZ1yoVSICQ,4M3c7tg4BzLQ5pIOupZL65,3QZYlqOQQfe1fzTpWLOye2,5DpSoH5zCXNRqYai7pmcGG","Dream On","Guitar Gods: The Classic Rock Anthems","Gregg Bissonette,Paul Taylor,Ronnie James Dio,Stuart Hamm,Yngwie Malmsteen",2006-01-10,270053,45,spotify:user:,1970-01-01T00:00:00Z,"deep jazz fusion,smooth jazz,smooth saxophone,hard rock,electric bass,glam metal,instrumental rock,metal,metal guitar,neo classical metal,shred,swedish hard rock",0.284,0.615,5,-7.163,0,0.0305,0.00675,0.0000135,0.0975,0.247,156.054,4
6MjnU3lzNxI9pGz1XECsDw,"77A9XsX4SDJlhB23yyUwQt","Thunderstruck","Farm Machine","Steve ´n´ Seagulls",2015-08-05,226920,45,spotify:user:,1970-01-01T00:00:00Z,"suomi rock",0.465,0.803,9,-5.92,1,0.0439,0.0341,0.0171,0.138,0.665,151.975,4
2tpPgG8Xkdbhn5xf77EVPP,"3IYUhFvPQItj6xySrBmZkd","I Heard It Through The Grapevine - Edit","Classic Covers","Creedence Clearwater Revival",2019-12-13,233066,53,spotify:user:,1970-01-01T00:00:00Z,"album rock,classic rock,country rock,mellow gold,rock,southern rock,swamp rock",0.917,0.627,2,-8.045,1,0.0407,0.105,0.004,0.0588,0.745,117.577,4
5XSU59wtE5CRCAEyHmmGy4,"1moxjboGR7GNWYIMWsRjgG","Stand By Me","Songs From Final Fantasy XV","Florence + The Machine",2016-08-12,245780,58,spotify:user:,1970-01-01T00:00:00Z,"baroque pop,modern rock,neo mellow,uk alternative pop",0.613,0.335,9,-6.791,1,0.0281,0.841,0.000161,0.194,0.245,108.014,4
1t2SAo6CEXVtyZQCRgPBvG,"4alZ73UZp90icEjdKjSIxw","Solfeggietto","Only Human","At Vance",2002-02-25,62800,46,spotify:user:,1970-01-01T00:00:00Z,"german metal,german power metal,metal cover,neo classical metal,power metal",0.157,0.747,9,-6.267,0,0.0559,0.612,0.76,0.23,0.794,141.754,4
1WE1WsxSqVofH8ugxJkc0c,"1DFr97A9HnbV3SKTJFu62M","Heroes","Under Cöver","Motörhead",2017-09-01,260720,46,spotify:user:,1970-01-01T00:00:00Z,"alternative metal,hard rock,metal,nu metal,rock,speed metal",0.399,0.971,6,-4.916,1,0.0724,0.000264,0.686,0.0609,0.244,125.026,4
6FCSwETzhnykKYJLIMTewZ,"2ye2Wgw4gimLv2eAKyk1NB","Astronomy","Garage, Inc.","Metallica",1998-11-24,397533,37,spotify:user:,1970-01-01T00:00:00Z,"hard rock,metal,old school thrash,rock,thrash metal",0.331,0.782,3,-5.624,0,0.0413,0.000157,0.0106,0.146,0.157,85.741,4
3ZPKocroJIcnHGcnJVlLKD,"3jOstUTkEu2JkjvRdBA5Gu","Africa","Weezer (Teal Album)","Weezer",2019-01-24,238626,56,spotify:user:,1970-01-01T00:00:00Z,"alternative rock,modern power pop,modern rock,permanent wave,rock",0.534,0.784,8,-3.59,1,0.0339,0.205,0.00579,0.106,0.6,92.147,4
1eBUvJSxkVfuLaZneEjsnT,"4PoYwGOztIrPpBfRIlMSxP","Black Betty","Throttle Junkies","Soil",2007-08-14,159800,44,spotify:user:,1970-01-01T00:00:00Z,"alternative metal,industrial metal,nu metal",0.589,0.872,11,-6.789,0,0.104,0.00249,0.0000229,0.32,0.523,128.996,4
13JsYnkF16pHKuOFG6uI1C,"3PhoLpVuITZKcymswpck5b","Lucy In The Sky With Diamonds","Captain Fantastic And The Brown Dirt Cowboy","Elton John",1975-05-19,377573,47,spotify:user:,1970-01-01T00:00:00Z,"glam rock,mellow gold,piano rock,rock",0.392,0.566,0,-8.127,1,0.0368,0.0889,0.000076,0.0676,0.538,164.11,4
5YZXVNIzaJquPCaSCePq98,"3aQeKQSyrW4qWr35idm0cy","War Pigs","On Top of The Covers","T-Pain",2023-03-17,379647,46,spotify:user:,1970-01-01T00:00:00Z,"dance pop,gangster rap,hip hop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary",0.275,0.888,9,-3.068,1,0.0747,0.0000944,0.000308,0.311,0.239,91.536,4
